127.0.0.1 - - [29/Nov/2022:12:00:09 +0800] "GET /nacos/v1/ns/instance/list?app=unknown&healthyOnly=false&namespaceId=public&clientIP=192.168.0.105&serviceName=DEFAULT_GROUP%40%40gateway&udpPort=60030&clusters= HTTP/1.1" 200 550 3 Nacos-Java-Client:v1.4.1 -
127.0.0.1 - - [29/Nov/2022:12:00:09 +0800] "GET /nacos/v1/ns/instance/list?app=unknown&healthyOnly=false&namespaceId=public&clientIP=192.168.0.105&serviceName=DEFAULT_GROUP%40%40userinfo&udpPort=60032&clusters=DEFAULT HTTP/1.1" 200 97 5 Nacos-Java-Client:v1.4.1 -
127.0.0.1 - - [29/Nov/2022:12:00:09 +0800] "POST /nacos/v1/ns/instance?app=unknown&groupName=DEFAULT_GROUP&metadata=%7B%22preserved.register.source%22%3A%22SPRING_CLOUD%22%7D&namespaceId=public&port=8089&enable=true&healthy=true&clusterName=DEFAULT&ip=192.168.0.105&weight=1.0&ephemeral=true&serviceName=DEFAULT_GROUP%40%40userinfo HTTP/1.1" 200 2 4 Nacos-Java-Client:v1.4.1 -
127.0.0.1 - - [29/Nov/2022:12:00:10 +0800] "POST /nacos/v1/cs/configs/listener HTTP/1.1" 200 - 3 Java/1.8.0_152 -
127.0.0.1 - - [29/Nov/2022:12:00:10 +0800] "GET /nacos/v1/ns/instance/list?app=unknown&healthyOnly=false&namespaceId=public&clientIP=192.168.0.105&serviceName=DEFAULT_GROUP%40%40gateway&udpPort=60030&clusters=DEFAULT HTTP/1.1" 200 557 5 Nacos-Java-Client:v1.4.1 -
127.0.0.1 - - [29/Nov/2022:12:00:10 +0800] "PUT /nacos/v1/ns/instance/beat?app=unknown&serviceName=DEFAULT_GROUP%40%40postinfo&namespaceId=public&port=8087&clusterName=DEFAULT&ip=192.168.0.105 HTTP/1.1" 200 75 5 Nacos-Java-Client:v1.4.1 -
127.0.0.1 - - [29/Nov/2022:12:00:10 +0800] "GET /nacos/v1/ns/instance/list?app=unknown&healthyOnly=false&namespaceId=public&clientIP=192.168.0.105&serviceName=DEFAULT_GROUP%40%40userinfo&udpPort=60032&clusters=DEFAULT HTTP/1.1" 200 559 4 Nacos-Java-Client:v1.4.1 -
127.0.0.1 - - [29/Nov/2022:12:00:13 +0800] "PUT /nacos/v1/ns/instance/beat?app=unknown&serviceName=DEFAULT_GROUP%40%40gateway&namespaceId=public&port=10010&clusterName=DEFAULT&ip=192.168.0.105 HTTP/1.1" 200 75 3 Nacos-Java-Client:v1.4.1 -
127.0.0.1 - - [29/Nov/2022:12:00:13 +0800] "GET /nacos/v1/cs/configs?dataId=FavorinfoApplication&group=DEFAULT_GROUP HTTP/1.1" 404 23 2 Java/1.8.0_152 -
127.0.0.1 - - [29/Nov/2022:12:00:13 +0800] "GET /nacos/v1/cs/configs?dataId=FavorinfoApplication.properties&group=DEFAULT_GROUP HTTP/1.1" 404 23 1 Java/1.8.0_152 -
127.0.0.1 - - [29/Nov/2022:12:00:14 +0800] "PUT /nacos/v1/ns/instance/beat?app=unknown&serviceName=DEFAULT_GROUP%40%40userinfo&namespaceId=public&port=8089&clusterName=DEFAULT&ip=192.168.0.105 HTTP/1.1" 200 75 4 Nacos-Java-Client:v1.4.1 -
